incident_id,timestamp,title,service,severity,category,symptoms,error_message,root_cause,resolution,recovery_time_minutes,status,engineer_notes,preventive_action,tags
INC-1001,2026-03-04 07:00,DNS Resolution Failure,Core Network,Medium,Network,Service unreachable,NXDOMAIN,DNS misconfiguration,Fix DNS records,27,Resolved,Verified recovery for Core Network.,Add monitoring and alerts,"network,core_network"
INC-1002,2026-01-09 00:00,DNS Resolution Failure,DNS,Low,Network,Service unreachable,NXDOMAIN,DNS misconfiguration,Fix DNS records,10,Resolved,Verified recovery for DNS.,Add monitoring and alerts,"network,dns"
INC-1003,2026-01-07 17:00,Deployment Rollout Failure,Docker,Medium,Deployment,New version unavailable,readiness probe failed,Faulty image,Rollback deployment,26,Resolved,Verified recovery for Docker.,Add monitoring and alerts,"deployment,docker"
INC-1004,2026-04-25 18:00,Memory Leak,Payment API,High,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,29,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"performance,payment_api"
INC-1005,2026-03-29 08:00,Database Deadlock,User Service,Medium,Database,Transactions stuck,deadlock detected,Conflicting transactions,Kill session; optimize queries,10,Resolved,Verified recovery for User Service.,Add monitoring and alerts,"database,user_service"
INC-1006,2026-04-08 03:00,SSL Certificate Expired,Web Gateway,High,SSL,HTTPS unavailable,certificate expired,Missed renewal,Renew certificate,15,Resolved,Verified recovery for Web Gateway.,Add monitoring and alerts,"ssl,web_gateway"
INC-1007,2026-07-06 14:00,NTP Time Drift,Monitoring,Low,Infrastructure,Token validation issue,clock skew,NTP stopped,Restart NTP,16,Resolved,Verified recovery for Monitoring.,Add monitoring and alerts,"infrastructure,monitoring"
INC-1008,2026-05-28 06:00,Gateway 502,Core Network,Low,Network,502 Bad Gateway,upstream unavailable,Backend unavailable,Restart backend,5,Resolved,Verified recovery for Core Network.,Add monitoring and alerts,"network,core_network"
INC-1009,2026-03-01 03:00,Image Pull Error,Kubernetes,Critical,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,12,Resolved,Verified recovery for Kubernetes.,Add monitoring and alerts,"deployment,kubernetes"
INC-1010,2026-04-05 11:00,Queue Overflow,Kafka,Medium,Messaging,Queue delay,queue full,Producer burst,Increase consumers,25,Resolved,Verified recovery for Kafka.,Add monitoring and alerts,"messaging,kafka"
INC-1011,2026-06-15 02:00,Permission Error,SSO,Medium,Authentication,403 responses,access denied,Incorrect role mapping,Update RBAC,21,Resolved,Verified recovery for SSO.,Add monitoring and alerts,"authentication,sso"
INC-1012,2026-04-08 08:00,CrashLoopBackOff,CI/CD,Medium,Deployment,Pods restarting,CrashLoopBackOff,Bad deployment,Rollback release,25,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1013,2026-07-30 01:00,SSL Certificate Expired,Web Gateway,High,SSL,HTTPS unavailable,certificate expired,Missed renewal,Renew certificate,16,Resolved,Verified recovery for Web Gateway.,Add monitoring and alerts,"ssl,web_gateway"
INC-1014,2026-05-26 22:00,Authentication Failure,Auth Service,High,Authentication,Login failed,invalid token,Expired signing key,Rotate keys,10,Resolved,Verified recovery for Auth Service.,Add monitoring and alerts,"authentication,auth_service"
INC-1015,2026-04-28 04:00,Queue Overflow,Event Bus,High,Messaging,Queue delay,queue full,Producer burst,Increase consumers,8,Resolved,Verified recovery for Event Bus.,Add monitoring and alerts,"messaging,event_bus"
INC-1016,2026-05-18 08:00,Deployment Rollout Failure,Docker,Critical,Deployment,New version unavailable,readiness probe failed,Faulty image,Rollback deployment,22,Resolved,Verified recovery for Docker.,Add monitoring and alerts,"deployment,docker"
INC-1017,2026-02-05 16:00,Storage Mount Failure,Storage,Critical,Storage,Volume unavailable,mount failed,Filesystem corruption,Remount volume,6,Resolved,Verified recovery for Storage.,Add monitoring and alerts,"storage,storage"
INC-1018,2026-06-10 05:00,Connection Pool Exhaustion,Inventory API,Critical,Database,HTTP 500; DB timeout,remaining connection slots are reserved,Connection pool exhausted,Restart workers; increase pool size,23,Resolved,Verified recovery for Inventory API.,Add monitoring and alerts,"database,inventory_api"
INC-1019,2026-06-02 14:00,Load Balancer Failure,DNS,High,Network,Health checks failing,backend unhealthy,Application crash,Restart instances,21,Resolved,Verified recovery for DNS.,Add monitoring and alerts,"network,dns"
INC-1020,2026-07-16 20:00,Connection Pool Exhaustion,Order Service,High,Database,HTTP 500; DB timeout,remaining connection slots are reserved,Connection pool exhausted,Restart workers; increase pool size,7,Resolved,Verified recovery for Order Service.,Add monitoring and alerts,"database,order_service"
INC-1021,2026-04-27 00:00,SSO Timeout,Auth Service,High,Authentication,Users redirected,session expired,Identity provider latency,Restart IdP,20,Resolved,Verified recovery for Auth Service.,Add monitoring and alerts,"authentication,auth_service"
INC-1022,2026-06-10 09:00,Cache Sync Failure,Redis,Medium,Cache,Stale cache,replication failed,Replica disconnected,Reconnect replica,8,Resolved,Verified recovery for Redis.,Add monitoring and alerts,"cache,redis"
INC-1023,2026-07-19 16:00,SSL Certificate Expired,Ingress,Low,SSL,HTTPS unavailable,certificate expired,Missed renewal,Renew certificate,23,Resolved,Verified recovery for Ingress.,Add monitoring and alerts,"ssl,ingress"
INC-1024,2026-01-29 11:00,TLS Handshake Failure,Web Gateway,High,SSL,Secure connection failed,TLS handshake error,Cipher mismatch,Update TLS config,11,Resolved,Verified recovery for Web Gateway.,Add monitoring and alerts,"ssl,web_gateway"
INC-1025,2026-01-22 23:00,Database Deadlock,Payment API,Critical,Database,Transactions stuck,deadlock detected,Conflicting transactions,Kill session; optimize queries,30,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"database,payment_api"
INC-1026,2026-06-18 15:00,Packet Loss,Load Balancer,Medium,Network,Intermittent connectivity,packet loss,Faulty switch,Replace switch,12,Resolved,Verified recovery for Load Balancer.,Add monitoring and alerts,"network,load_balancer"
INC-1027,2026-05-19 23:00,Memory Leak,Payment API,Medium,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,26,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"performance,payment_api"
INC-1028,2026-06-16 11:00,SSO Timeout,SSO,Critical,Authentication,Users redirected,session expired,Identity provider latency,Restart IdP,20,Resolved,Verified recovery for SSO.,Add monitoring and alerts,"authentication,sso"
INC-1029,2026-02-27 02:00,Kafka Consumer Lag,Kafka,High,Messaging,Delayed processing,consumer lag,Insufficient consumers,Scale consumers,4,Resolved,Verified recovery for Kafka.,Add monitoring and alerts,"messaging,kafka"
INC-1030,2026-02-26 00:00,Service Discovery Failure,Config Server,Low,Infrastructure,Services not found,registry timeout,Registry overload,Restart registry,26,Resolved,Verified recovery for Config Server.,Add monitoring and alerts,"infrastructure,config_server"
INC-1031,2026-01-09 10:00,Database Deadlock,Payment API,Low,Database,Transactions stuck,deadlock detected,Conflicting transactions,Kill session; optimize queries,20,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"database,payment_api"
INC-1032,2026-05-05 06:00,Image Pull Error,Docker,Medium,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,27,Resolved,Verified recovery for Docker.,Add monitoring and alerts,"deployment,docker"
INC-1033,2026-07-20 15:00,NTP Time Drift,Monitoring,Critical,Infrastructure,Token validation issue,clock skew,NTP stopped,Restart NTP,10,Resolved,Verified recovery for Monitoring.,Add monitoring and alerts,"infrastructure,monitoring"
INC-1034,2026-04-01 13:00,DNS Resolution Failure,DNS,Critical,Network,Service unreachable,NXDOMAIN,DNS misconfiguration,Fix DNS records,18,Resolved,Verified recovery for DNS.,Add monitoring and alerts,"network,dns"
INC-1035,2026-04-14 23:00,Connection Pool Exhaustion,Payment API,High,Database,HTTP 500; DB timeout,remaining connection slots are reserved,Connection pool exhausted,Restart workers; increase pool size,29,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"database,payment_api"
INC-1036,2026-02-18 17:00,Packet Loss,Load Balancer,Critical,Network,Intermittent connectivity,packet loss,Faulty switch,Replace switch,8,Resolved,Verified recovery for Load Balancer.,Add monitoring and alerts,"network,load_balancer"
INC-1037,2026-04-29 07:00,Disk Full,Object Storage,Low,Storage,Write failure,No space left,Logs filled disk,Rotate logs,18,Resolved,Verified recovery for Object Storage.,Add monitoring and alerts,"storage,object_storage"
INC-1038,2026-06-16 17:00,High CPU Usage,Payment API,Low,Performance,Slow responses,CPU above 95%,Infinite loop,Deploy hotfix,6,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"performance,payment_api"
